Issue Type,Summary,Description,Epic Link,Parent,Fix Version,Priority,Story Points,Labels,Acceptance Criteria,Components
Epic,[EPIC] Acceder y navegar,Orientarse en la biblioteca personal y abrir el contenido de interés.,,,MVP,High,,epic;mvp;backbone,,
Epic,[EPIC] Capturar contenido,"Registrar ideas, notas y enlaces de forma rápida.",,,MVP,High,,epic;mvp;backbone,,
Epic,[EPIC] Organizar con etiquetas,Clasificar el conocimiento por contexto o tema.,,,MVP,High,,epic;mvp;backbone,,
Epic,[EPIC] Recuperar información,Localizar notas mediante búsqueda.,,,MVP,High,,epic;mvp;backbone,,
Epic,[EPIC] Mantener el conocimiento,Actualizar o depurar notas obsoletas.,,,MVP,High,,epic;mvp;backbone,,
Story,[US-001] Ver listado de todas mis notas,"Como usuario final, quiero ver un listado de todas mis notas, para orientarme rápidamente en mi biblioteca personal.",EPIC-001,,MVP,High,3,invest;mvp,Feature: Listado de notas\n\n  Scenario: Usuario con notas existentes ve el listado al abrir la app\n    Given que tengo 3 notas guardadas con título y fecha de creación\n    When abro la aplicación\n    Then veo un listado con las 3 notas mostrando título y fecha de cada una\n\n  Scenario: El listado es la pantalla principal al iniciar\n    Given que la aplicación está cargada\n    When accedo a la URL principal\n    Then el listado de notas es visible sin navegación adicional,Frontend
Story,[US-002] Abrir detalle de una nota desde el listado,"Como usuario final, quiero abrir el detalle de una nota desde el listado, para leer su contenido completo.",EPIC-001,,MVP,High,3,invest;mvp,"Feature: Detalle de nota\n\n  Scenario: Abrir detalle desde el listado\n    Given que estoy en el listado de notas\n    And existe una nota con título ""Ideas de proyecto"" y contenido ""Texto de la nota""\n    When pulso sobre la nota ""Ideas de proyecto""\n    Then veo el título, contenido, enlaces y etiquetas de la nota\n\n  Scenario: Nota no encontrada\n    Given que intento acceder al detalle de una nota eliminada\n    When la aplicación solicita la nota\n    Then veo un mensaje informativo y regreso al listado",Frontend
Story,[US-003] Estado vacío cuando no hay notas,"Como usuario final, quiero ver un mensaje claro cuando aún no tengo notas, para saber cómo empezar a capturar contenido.",EPIC-001,,V1,Medium,2,invest;v1,"Feature: Estado vacío del listado\n\n  Scenario: Usuario sin notas ve mensaje orientativo\n    Given que no tengo ninguna nota creada\n    When abro la aplicación\n    Then veo un mensaje que indica que aún no hay notas\n    And veo un botón o enlace ""Crear nota""\n\n  Scenario: El estado vacío no muestra pantalla en blanco\n    Given que el listado de notas está vacío\n    When cargo la pantalla principal\n    Then no veo una pantalla completamente en blanco sin contexto",Frontend
Story,[US-004] Ordenar listado por fecha o título,"Como usuario final, quiero ordenar el listado por fecha o título, para priorizar cómo reviso mi biblioteca.",EPIC-001,,V2+,Low,3,invest;v2plus,"Feature: Ordenación del listado\n\n  Scenario: Ordenar por título alfabético\n    Given que tengo notas ""Zebra"", ""Alpha"" y ""Beta""\n    When selecciono ordenar por título\n    Then el listado muestra primero ""Alpha"", luego ""Beta"" y después ""Zebra""\n\n  Scenario: El orden se mantiene en la sesión actual\n    Given que he ordenado el listado por fecha descendente\n    When navego al detalle de una nota y vuelvo al listado\n    Then el listado sigue ordenado por fecha descendente",Frontend
Story,[US-005] Crear nota con título y contenido,"Como usuario final, quiero crear una nota con título y contenido en máximo 2 interacciones, para capturar ideas sin fricción.",EPIC-002,,MVP,High,5,invest;mvp,"Feature: Creación de nota\n\n  Scenario: Crear nota en máximo 2 interacciones\n    Given que estoy en la pantalla principal\n    When pulso ""Nueva nota"", escribo título y contenido y guardo\n    Then la nota aparece en el listado con fechas de creación y actualización generadas automáticamente\n\n  Scenario: Título o contenido vacíos impiden guardar\n    Given que estoy en el formulario de nueva nota\n    When dejo el título o el contenido vacío e intento guardar\n    Then veo un mensaje de error de validación\n    And la nota no se crea",Frontend
Story,[US-006] Añadir enlaces URL a una nota,"Como usuario final, quiero añadir enlaces URL a una nota, para conservar referencias junto a mis ideas.",EPIC-002,,MVP,High,3,invest;mvp,"Feature: Enlaces en notas\n\n  Scenario: Añadir uno o más enlaces al crear o editar\n    Given que estoy creando o editando una nota\n    When añado las URLs ""https://ejemplo.com"" y ""https://docs.org/guia""\n    And guardo la nota\n    Then los enlaces aparecen en el detalle de la nota como links clicables\n\n  Scenario: URL con formato inválido es rechazada\n    Given que estoy en el formulario de nota\n    When introduzco ""no-es-url"" en el campo de enlace\n    And intento guardar\n    Then veo un mensaje indicando que la URL no es válida\n    And la nota no se guarda hasta corregir el enlace",Frontend
Story,[US-007] Feedback de validación sin perder datos del formulario,"Como usuario final, quiero recibir feedback inmediato si olvido el título o el contenido, para corregir el error sin perder lo escrito.",EPIC-002,,V1,Medium,2,invest;v1,"Feature: Validación de formulario de nota\n\n  Scenario: Mensaje específico por campo obligatorio vacío\n    Given que estoy en el formulario con contenido escrito pero sin título\n    When intento guardar\n    Then veo el mensaje ""El título es obligatorio"" junto al campo título\n    And el contenido que escribí permanece en el formulario\n\n  Scenario: Validación en cliente y servidor\n    Given que envío el formulario con campos inválidos\n    When el servidor responde con error de validación\n    Then veo mensajes de error claros por cada campo afectado\n    And ningún dato introducido se pierde",Frontend
Story,[US-008] Asignar etiquetas a una nota,"Como usuario final, quiero asignar etiquetas a una nota, para clasificar mi conocimiento por temas.",EPIC-003,,MVP,High,5,invest;mvp,"Feature: Asignación de etiquetas\n\n  Scenario: Crear etiquetas automáticamente al escribirlas\n    Given que estoy editando una nota\n    When escribo la etiqueta ""productividad"" que no existía antes\n    And guardo la nota\n    Then la etiqueta ""productividad"" queda asociada a la nota\n    And la etiqueta está disponible para otras notas\n\n  Scenario: Varias etiquetas por nota con nombre único\n    Given que asigno las etiquetas ""ideas"" y ""urgente"" a una nota\n    When guardo\n    Then ambas etiquetas aparecen en el detalle de la nota\n    And no puedo crear dos etiquetas con el mismo nombre para mi biblioteca",Frontend
Story,[US-009] Filtrar notas por etiqueta,"Como usuario final, quiero filtrar mis notas por una etiqueta, para ver solo el contenido de un tema concreto.",EPIC-003,,MVP,High,3,invest;mvp,"Feature: Filtro por etiqueta\n\n  Scenario: Filtrar listado por etiqueta seleccionada\n    Given que tengo notas etiquetadas con ""trabajo"" y ""personal""\n    When selecciono la etiqueta ""trabajo"" en el filtro\n    Then el listado muestra solo las notas con etiqueta ""trabajo""\n\n  Scenario: Etiqueta sin notas asociadas\n    Given que la etiqueta ""archivo"" no tiene notas\n    When filtro por ""archivo""\n    Then veo un mensaje indicando que no hay notas con esa etiqueta",Frontend
Story,[US-010] Quitar etiqueta de una nota sin borrar la nota,"Como usuario final, quiero quitar una etiqueta de una nota sin borrar la nota, para reorganizar sin perder contenido.",EPIC-003,,V1,Medium,2,invest;v1,"Feature: Quitar etiqueta de nota\n\n  Scenario: Desasociar etiqueta desde detalle o edición\n    Given que la nota ""Reunión"" tiene las etiquetas ""trabajo"" y ""urgente""\n    When quito la etiqueta ""urgente""\n    Then la nota ""Reunión"" ya no muestra ""urgente""\n    And la nota sigue existiendo con el resto de sus datos\n\n  Scenario: La etiqueta permanece si otras notas la usan\n    Given que ""trabajo"" está en las notas ""A"" y ""B""\n    When quito ""trabajo"" solo de la nota ""A""\n    Then la etiqueta ""trabajo"" sigue existiendo\n    And la nota ""B"" conserva la etiqueta ""trabajo""",Frontend
